propertyCode,url,address_search,price_search,details_search,description_search,source_page,scraped_at,seed_url,seed_label
106058470,https://www.idealista.com/en/inmueble/106058470/,"Penthouse in Calle de la Diputació, La Dreta de l'Eixample, Barcelona","2,500,000 €",4 bed. 274 m² 5th floor exterior with lift | 4 bed. | 274 m² | 5th floor exterior with lift,"Renovated penthouse with terrace in Eixample This stunning penthouse situated in a corner building features three en-suite bedrooms and an extra studio, as well a private rooftop terrace of 100 sqm connected directly from the flat. This classic Eixample corner building has undergone an extensive renovation and feature",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110975491,https://www.idealista.com/en/inmueble/110975491/,"Duplex in Calle d'Anglí, 15, Les Tres Torres, Barcelona","2,900,000 €",7 bed. 330 m² 5th floor exterior with lift | 7 bed. | 330 m² | 5th floor exterior with lift,"Duplex penthouse with terrace located in Tres Torres a house of great amplitude with large and well distributed rooms that allows to update each space and take advantage of its size, brightness and functionality for a comfortable and practical use. The main floor offers a spacious lobby that connects to a spacious day",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110437931,https://www.idealista.com/inmueble/110437931/,"Flat / apartment in Calle President Lluís Companys, 22",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
109853125,https://www.idealista.com/inmueble/109853125/,"Flat / apartment in Pasaje Salut, 96",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110897278,https://www.idealista.com/inmueble/110897278/,"Flat / apartment in Calle Maternitat D’elna, 3",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110971923,https://www.idealista.com/inmueble/110971923/,"Flat / apartment in Riera De La Creu 54, 56",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110975132,https://www.idealista.com/inmueble/110975132/,"Detached house in Avenida Mas Fuster, 144",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110699054,https://www.idealista.com/inmueble/110699054/,"Flat / apartment in Calle Progrés, 179",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
108917125,https://www.idealista.com/inmueble/108917125/,"Duplex in Calle Industria, 252",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
109664462,https://www.idealista.com/inmueble/109664462/,"Flat / apartment in Carretera Reial, 128",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110454464,https://www.idealista.com/inmueble/110454464/,"Flat / apartment in Calle Miquel Tort, 6",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110491861,https://www.idealista.com/inmueble/110491861/,Flat / apartment in Jacint Verdaguer,,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
109963785,https://www.idealista.com/inmueble/109963785/,"Flat / apartment in Calle Anselm Clavé, 77",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110486065,https://www.idealista.com/inmueble/110486065/,"Flat / apartment in Calle Santa Teresa, 15",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
111002633,https://www.idealista.com/inmueble/111002633/,"Flat / apartment in Calle Mossen Camill Rosell, 48",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110107422,https://www.idealista.com/inmueble/110107422/,"Penthouse in Rambla De Balmes, 19",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110938964,https://www.idealista.com/inmueble/110938964/,"Terraced house in Calle De Sant Joan, 2",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
106305033,https://www.idealista.com/inmueble/106305033/,"Flat / apartment in Calle Sant Sebastià, 6",,,,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
106980168,https://www.idealista.com/en/inmueble/106980168/,"Flat / apartment in Calle d'Aragó, 229, La Dreta de l'Eixample, Barcelona","1,250,000 €",3 bed. 142 m² 4th floor exterior with lift | 3 bed. | 142 m² | 4th floor exterior with lift,"Spectacular brand-new refurbished modernist apartment FOR SALE. Next to Rambla Catalunya and Paseo de Gracia, this recently refurbished modernist flat FOR SALE is a delight for lovers of the most traditional Barcelona. It's located on the real fourth floor, so it is bright and quiet, and stands out for the beauty of",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110213347,https://www.idealista.com/en/inmueble/110213347/,"Flat / apartment in Calle de Bergara, La Dreta de l'Eixample, Barcelona","1,290,000 €",3 bed. 162 m² 1st floor exterior with lift | 3 bed. | 162 m² | 1st floor exterior with lift,"In the heart of Barcelona, next to Plaza Catalunya and a few steps from La Rambla, this apartment is located in a vibrant and privileged area surrounded by cultural, gastronomic, commercial and excellent connections with public transport, including the main railway station. An exceptional urban enclave in the heart of",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
109918897,https://www.idealista.com/en/inmueble/109918897/,"Flat / apartment in Calle de Balmes, L'Antiga Esquerra de l'Eixample, Barcelona","1,400,000 €",2 bed. 198 m² 1st floor exterior without lift | 2 bed. | 198 m² | 1st floor exterior without lift,"Exquisite property located on the main floor of a majestic 1910 period building that impeccably maintains original elements such as hydraulic floors and coffered ceilings, reflecting the character and history of Barcelona's Eixample district. The property boasts 172 m² of built area, with 162 m² dedicated to property",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110198713,https://www.idealista.com/en/inmueble/110198713/,"Flat / apartment in Calle de Bergara, La Dreta de l'Eixample, Barcelona","1,295,000 €",3 bed. 162 m² 1st floor exterior with lift | 3 bed. | 162 m² | 1st floor exterior with lift,"Completely renovated apartment with high-quality finishes, located in a period building next to Plaça Catalunya. The renovation has carefully preserved original features that lend character and charm, such as hydraulic tile floors and ceiling moldings. The property features three bedrooms, one of which is an en suite w",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110886238,https://www.idealista.com/en/inmueble/110886238/,"Flat / apartment in Calle de Villarroel, 73, L'Antiga Esquerra de l'Eixample, Barcelona","1,190,000 €",3 bed. 145 m² 2nd floor exterior with lift | 3 bed. | 145 m² | 2nd floor exterior with lift,"This elegant traditional style apartment, located in the emblematic Eixample district of Barcelona, offers a unique opportunity to live in a historic environment with all the modern comforts. Built in 1890 and recently renovated, this space has 3 bedrooms, 2 bathrooms and 145 m² built. Features include high ceilings,",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110338311,https://www.idealista.com/en/inmueble/110338311/,"Penthouse in Via Augusta, Sant Gervasi - Galvany, Barcelona","6,000,000 €",Parking included 5 bed. 665 m² 7th floor exterior with lift | Parking included | 5 bed. | 665 m² | 7th floor exterior with lift,"Spectacular luxury penthouse with 4 suites and awesome terraces. This exclusive penthouse is a truly unique property for sale in Sant Gervasi, offering every imaginable comfort in one of Barcelona’s most prestigious neighborhoods. Located within the city, it provides easy car access, ensuring total freedom of movement",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110683032,https://www.idealista.com/en/inmueble/110683032/,"Flat / apartment in Calle del Consell de Cent, La Dreta de l'Eixample, Barcelona","1,995,000 €",3 bed. 205 m² 4th floor exterior with lift | 3 bed. | 205 m² | 4th floor exterior with lift,"Fabulous and spacious renovated property FOR SALE with original features in Eixample. In the heart of the Eixample district, this exclusive 202 sqm flat FOR SALE has been completely renovated with an exquisite refurbishment project that has preserved its original modernist essence. The property retains unique features",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110491789,https://www.idealista.com/en/inmueble/110491789/,"Flat / apartment in Calle de Girona, La Dreta de l'Eixample, Barcelona","1,900,000 €",3 bed. 192 m² 3rd floor exterior with lift | 3 bed. | 192 m² | 3rd floor exterior with lift,"Stunning newly renovated modernist apartment in a corner building in Eixample. This flawless brand new refurbished flat is located in a modernist building on the corner next to the pedestrian section of Carrer Girona, in the heart of the Eixample district. This is one of the most sought-after areas of the city, where",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110754747,https://www.idealista.com/en/inmueble/110754747/,"Penthouse in Calle d'Aragó, La Dreta de l'Eixample, Barcelona","1,435,000 €",4 bed. 166 m² 5th floor exterior with lift | 4 bed. | 166 m² | 5th floor exterior with lift,"Fabulous brand new refurbished flat FOR SALE in a 1900 building close to Paseo Sant Joan. This excellent newly renovated apartment FOR SALE is located in a strategic area of Eixample's right side, very close to Passeig Sant Joan, Avinguda Diagonal, and La Sagrada Familia. It is on the fifth (top) floor of a regal buil",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
107034117,https://www.idealista.com/en/inmueble/107034117/,"Flat / apartment in Calle de València, La Dreta de l'Eixample, Barcelona","1,225,000 €",3 bed. 124 m² 2nd floor exterior with lift | 3 bed. | 124 m² | 2nd floor exterior with lift,"Top quality refurbishment at Passeig Sant Joan This newly refurbished, top-quality apartment offers a perfect blend of modern comfort and original charm. With 3 bedrooms and 2 fully equipped bathrooms, the property features exquisite oak wood floors, complemented by original hydraulic tiles that preserve the essence of",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
105435068,https://www.idealista.com/en/inmueble/105435068/,"Flat / apartment in Calle del Rosselló, La Dreta de l'Eixample, Barcelona","1,800,000 €",2 bed. 178 m² 1st floor exterior with lift | 2 bed. | 178 m² | 1st floor exterior with lift,"This immaculate flat is located between Paseo de Gracia and Rambla Catalunya, one of the most prestigious locations in Barcelona in the upper part of Eixample's right side. The luxury refurbishment has taken care of all the details in conception, materials and finishings, highlighting the floors and ceilings designed e",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
107309985,https://www.idealista.com/en/inmueble/107309985/,"Detached house in Calle de Benedetti, Sant Gervasi - La Bonanova, Barcelona","1,950,000 €",Parking included 5 bed. 437 m² | Parking included | 5 bed. | 437 m²,"Astonishing and modern house with garden, terrace and garage in uptown. In the heart of the exclusive neighbourhood of La Bonanova, surrounded by prestigious schools, medical centres, public transport and everything you need at your fingertips, a house that redefines the meaning of comfort and style awaits you. Bui",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110964943,https://www.idealista.com/en/inmueble/110964943/,"Flat / apartment in Calle dels Banys Vells, Sant Pere - Santa Caterina i la Ribera, Barcelona","725,000 €",4 bed. 136 m² 4th floor exterior without lift | 4 bed. | 136 m² | 4th floor exterior without lift,"Exclusive apartment for sale with 136 m² of living space, notable for its spaciousness and versatility. The property features four bedrooms and two full bathrooms, offering a comfortable and adaptable space suitable for various lifestyles, whether for families, professionals, or those who wish to combine living and wor",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
106253657,https://www.idealista.com/en/inmueble/106253657/,"Flat / apartment in Jardí de Tòquio, Pedralbes, Barcelona","2,700,000 €",Parking included 5 bed. 280 m² 2nd floor exterior with lift | Parking included | 5 bed. | 280 m² | 2nd floor exterior with lift,"Stunning brand new refurbished property in Pedralbes. This unique and exclusive upscale property is located in a privileged location next to the Cruz de Pedralbes, one of the most prestigious areas of Barcelona. It has 259,37 built interior sqm and a 14 sqm terrace. The flat is situated in an extraordinary building",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
106927548,https://www.idealista.com/en/inmueble/106927548/,"Flat / apartment in Calle del Consell de Cent, La Dreta de l'Eixample, Barcelona","2,650,000 €",4 bed. 269 m² 3rd floor exterior with lift | 4 bed. | 269 m² | 3rd floor exterior with lift,"Exclusive all-exterior apartment by Passeig de Gràcia In the most sought-after location, right by Passeig de Gràcia, the most exclusive street in Barcelona, and Consell de Cent street, a pedestrian oasis in the heart of the city, we find this spectacular property of about two hundred and seventy square meters. One of t",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
111018513,https://www.idealista.com/en/inmueble/111018513/,"Flat / apartment in Avenida de Pau Casals, Sant Gervasi - Galvany, Barcelona","2,000,000 €",4 bed. 327 m² 2nd floor exterior with lift | 4 bed. | 327 m² | 2nd floor exterior with lift,"Located in an elegant manor house with concierge service, this 331 m² property, built in 1945, combines the charm of classic architecture with ample possibilities for renovation. The home stands out for its generous size and open layout, ideal for adapting to different lifestyles. Large windows allow for a constant inf",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
108528453,https://www.idealista.com/en/inmueble/108528453/,"Flat / apartment in Calle d'Aragó, La Dreta de l'Eixample, Barcelona","645,000 €",2 bed. 85 m² 1st floor exterior with lift | 2 bed. | 85 m² | 1st floor exterior with lift,"Fantastic refurbished and furnished flat in a century-old building in Eixample. This fabulous apartment is located in an excellent area of Eixample's right side, very close to Paseo Sant Joan, Avenida Diagonal and the Sagrada Familia. It has been completely renovated with an exclusive design and high-quality finishing",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
108441459,https://www.idealista.com/en/inmueble/108441459/,"Flat / apartment in Calle de València, La Dreta de l'Eixample, Barcelona","1,225,000 €",3 bed. 132 m² 2nd floor exterior with lift | 3 bed. | 132 m² | 2nd floor exterior with lift,"Marvellous brand new refurbished apartment in a corner building in Eixample This brand new refurbished 130 sqm 3-bedroom flat enjoys an enviable location in the upper part of the Eixample's right side, next to Paseo Sant Joan and Avenida Diagonal. It's located on the real 2nd floor of a regal estate building on a corn",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
110669669,https://www.idealista.com/en/inmueble/110669669/,"Penthouse in Calle de Pau Claris, La Dreta de l'Eixample, Barcelona","1,790,000 €",3 bed. 170 m² 4th floor exterior with lift | 3 bed. | 170 m² | 4th floor exterior with lift,"Spectacular corner refurbished penthouse with 6 balconies in Eixample. This incredible designer penthouse is located in a regal estate in Pau Claris street, next to the iconic Passeig de Gràcia and just two streets away from Plaza Catalunya. This is a unique property on the top floor (fourth floor) of a building with",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
108863320,https://www.idealista.com/en/inmueble/108863320/,"Penthouse in Calle d'Aragó, La Dreta de l'Eixample, Barcelona","1,200,000 €",2 bed. 117 m² 6th floor exterior with lift | 2 bed. | 117 m² | 6th floor exterior with lift,"Exclusive new-build penthouse with 117 m² of living space, located on the sixth floor of a stately 1880 building, which was completely renovated in 2021. The project respects the essence of the original modernist architecture and combines it with a contemporary design focused on everyday well-being. The property featur",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
110907554,https://www.idealista.com/en/inmueble/110907554/,"Flat / apartment in Calle de Muntaner, Sant Gervasi - Galvany, Barcelona","2,150,000 €",5 bed. 224 m² 1st floor interior with lift | 5 bed. | 224 m² | 1st floor interior with lift,"Located in the upper area of Barcelona, in the consolidated neighborhood of Sant Gervasi, this elegant apartment is located in a regal corner property of great presence, next to one of the main axes of the city. A distinguished residential environment, surrounded by select stores, schools and excellent connections, whi",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
101949519,https://www.idealista.com/en/inmueble/101949519/,"Flat / apartment in Calle de Casp, La Dreta de l'Eixample, Barcelona","2,700,000 €",4 bed. 441 m² 4th floor exterior with lift | 4 bed. | 441 m² | 4th floor exterior with lift,"Exclusive executive residence in the heart of the Eixample district In one of the most emblematic areas of Barcelona's Eixample is located this exceptional 441 m² home, designed to live and work in balance. A home where spaciousness, natural light and serenity define each space, offering an unusual residential experien",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
111082942,https://www.idealista.com/en/inmueble/111082942/,"Flat / apartment in Calle de València, L'Antiga Esquerra de l'Eixample, Barcelona","930,000 €",3 bed. 103 m² 2nd floor interior with lift | 3 bed. | 103 m² | 2nd floor interior with lift,"This exclusive apartment boasts 100 m² of living space and a 3 m² storage room located in the communal area. Situated on the second floor of a stately building with an elevator, the apartment stands out for its excellent layout and dual aspect, allowing for abundant natural light throughout the day. It features three d",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
108910250,https://www.idealista.com/en/inmueble/108910250/,"Duplex in Calle de Ticià, Vallcarca i els Penitents, Barcelona","1,156,000 €",Parking included 4 bed. 245 m² 1st floor exterior without lift | Parking included | 4 bed. | 245 m² | 1st floor exterior without lift,"In the heart of a quiet residential area of Barcelona, we present a unique 170 m² (1,600 sq ft) apartment, located within an elegant 1930s Modernist-style detached house. This property combines original character with a contemporary renovation designed to offer maximum comfort and quality of life. Access to the apartm",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
106506259,https://www.idealista.com/en/inmueble/106506259/,"Flat / apartment in Jardí de Tòquio, Pedralbes, Barcelona","2,800,000 €",6 bed. 269 m² 3rd floor exterior with lift | 6 bed. | 269 m² | 3rd floor exterior with lift,"Renovated apartment with three exposures and spacious exterior rooms in one of the best areas of Pedralbes. With direct access from the elevator, its layout is divided between a day area with a large living room and separate kitchen; a night area with five spacious bedrooms and three bathrooms; and a service area with",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
109901915,https://www.idealista.com/en/inmueble/109901915/,"Flat / apartment in Calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona","1,490,000 €",5 bed. 184 m² 5th floor exterior with lift | 5 bed. | 184 m² | 5th floor exterior with lift,"Located on the fifth floor of a 1900 Modernist building, this elegant 184 m² apartment offers a spacious and well-balanced layout, typical of Eixample district apartments. The property stands out for its abundant natural light and for preserving some of the original features of historic buildings, combined with essenti",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
108206690,https://www.idealista.com/en/inmueble/108206690/,"Penthouse in Calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona","1,675,000 €",3 bed. 173 m² 6th floor exterior with lift | 3 bed. | 173 m² | 6th floor exterior with lift,"Exclusive 133m² duplex penthouse plus 40m² of terraces in the heart of L'Eixample. Located on the sixth floor of a stately building, the property features a functional design and an efficient distribution over two floors, making the most of the space and natural light that floods each of the spaces to create a sophisti",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
108692642,https://www.idealista.com/en/inmueble/108692642/,"Flat / apartment in Calle de Pau Claris, La Dreta de l'Eixample, Barcelona","2,150,000 €",3 bed. 183 m² 5th floor exterior with lift | 3 bed. | 183 m² | 5th floor exterior with lift,"Luxurious furnished and decorated apartment one street from Passeig de Gràcia. Engel & Völkers presents this fabulous, newly renovated, and totally furnished apartment. The property is located on an upper floor of a beautiful building with a spacious and elegant entrance. The building is situated on Pau Claris Street,",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
109724393,https://www.idealista.com/en/inmueble/109724393/,"Flat / apartment in Gran Via de les Corts Catalanes, La Dreta de l'Eixample, Barcelona","1,180,000 €",3 bed. 150 m² 2nd floor interior with lift | 3 bed. | 150 m² | 2nd floor interior with lift,"This exclusive, renovated 158 m² apartment is located on the fourth floor (third floor in US/UK terms) of a historic Modernist building in the heart of Barcelona's Eixample district. Its design blends classic architecture with contemporary finishes, creating a sophisticated and functional atmosphere. Three-meter-high c",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/pagina-2.htm,2026-04-17T15:35:22+00:00,,
